object_location,objectid,title,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,display_template,image_small,image_thumb,image_alt_text
https://digital.ncdcr.gov/Documents/Detail/history-and-architecture-of-long-wharf-and-greater-duffyfield-african-american-neighborhoods-in-new-bern-north-carolina-a-report-prepared-for-the-city-of-new-bern-historic-preservation-commission/377956?item=382509,blackhistory011,"History and architecture of Long Wharf and Greater Duffyfield : African American neighborhoods in New Bern, North Carolina, a report prepared for the City of New Bern Historic Preservation Commission",1994-04,n,"Hanchett, Thomas W.",,"A history of African American neighborhoods in New Bern, NC.",multiple-page; report,"Long Wharf (New Bern, N.C.)--History; Greater Duffyfield (New Bern, N.C.)--History; African American neighborhoods--North Carolina--New Bern; Architecture--North Carolina--New Bern; African Americans--North Carolina--New Bern--History; New Bern (N.C.)--Buildings, structures, etc.; Historic buildings--North Carolina--New Bern","New Bern, North Carolina",,,,State Library of North Carolina,North Carolina Department of Natural and Cultural Resources,,,pubs_31326622_history199404_0001.tif-pubs_31326622_history199404_0128.tif,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.; For access of physical materials and permissions questions, contact the North Carolina State Historic Preservation Office at 919-814-6593.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,application/pdf,eng,,pdf,/objects/small/011_newbern_aahistory_sm.jpg,/objects/thumbs/011_newbern_aahistory_th.jpg,Read about African American neighborhoods in New Bern in our digital collections
https://digital.ncdcr.gov/Documents/Detail/beauforts-african-american-history-and-architecture/377966,blackhistory012,Beaufort's African-American history and architecture,1995,n,"Sandbeck, Peter B.",,A history of Beaufort's African American neighborhood.,multiple-page; report,Beaufort (N.C.)--History; African American neighborhoods--North Carolina--Beaufort--History; African American architecture--North Carolina--Beaufort--History; African Americans--North Carolina--Beaufort--History,"Beaufort, North Carolina",,,,State Library of North Carolina,North Carolina Department of Natural and Cultural Resources,,,pubs_37328319_beauforts199507_0001.tif-pubs_37328319_beauforts199507_0106.tif,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.; For access of physical materials and permissions questions, contact the North Carolina State Historic Preservation Office at 919-814-6593.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,application/pdf,eng,,pdf,/objects/small/012_beaufort_aahistory_sm.jpg,/objects/thumbs/012_beaufort_aahistory_th.jpg,Read about African American architecture and history in Beaufort in our digital collections
https://digital.ncdcr.gov/Documents/Detail/winston-salems-african-american-neighborhoods-1870-1950-architectural-and-planning-report/378672,blackhistory013,"Winston-Salem's African-American neighborhoods, 1870-1950 : architectural and planning report",1994,n,"Oppermann, Langdon E.",,A report about the development African-American neighborhoods in Winston-Salem.,multiple-page; report,"Architectural surveys--North Carolina--Winston-Salem; Winston-Salem (N.C.)--Buildings, structures, etc.--Surveys; African American architecture--North Carolina--Winston-Salem--History; African American neighborhoods--North Carolina--Winston-Salem--Buildings, structures, etc.","Winston-Salem, North Carolina",,,,State Library of North Carolina,North Carolina Department of Natural and Cultural Resources,,,pubs_1134989025_winston1994_0001.tif-pubs_1134989025_winston1994_0475.tif,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.; For access of physical materials and permissions questions, contact the North Carolina State Historic Preservation Office at 919-814-6593.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,application/pdf,eng,,pdf,/objects/small/013_winston_aahistory_sm.jpg,/objects/thumbs/013_winston_aahistory_th.jpg,Read the report on African American neighborhoods in Winston-Salem in our digital collections
https://digital.ncdcr.gov/Documents/Detail/african-american-members-of-first-baptist-church-hillsborough-nc/500316,blackhistory014,"African American Members of First Baptist Church Hillsborough, NC",1853-1868,y,"Carter, Reginald",,"Report published by the History and Records Ministry Team at First Baptist Church Hillsborough, NC.",multiple-page; report,United States--Church history; African Americans--Religion; African American churches,"Hillsborough, North Carolina",,,,State Library of North Carolina,North Carolina Family Records Collection,,,fhp_firstbaptisthillsborough.pdf,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,application/pdf,eng,,pdf,/objects/small/014_aachurch_members_sm.jpg,/objects/thumbs/014_aachurch_members_th.jpg,View African American members of Hillsborough First Baptist Church in our digital collections
https://digital.ncdcr.gov/Documents/Detail/charlotte-hawkins-brown-memorial-north-carolinas-first-state-historic-site-honoring-the-contributions-of-its-african-american-citizens/558801?item=679194,blackhistory015,Charlotte Hawkins Brown Memorial : North Carolina's first state historic site honoring the contributions of its African American citizens,1995,n,North Carolina. Historic Sites Section.,,Brochure on the life of Charlotte Hawkins Brown and her work with the Palmer Institute.,multiple-page; brochure,"Brown, Charlotte Hawkins, 1883-1961; Charlotte Hawkins Brown Memorial (Sedalia, N.C.); Historic sites--North Carolina--Sedalia; Palmer Memorial Institute (Sedalia, N.C.)","Sedalia, North Carolina",36.067222,-79.623611,,State Library of North Carolina,North Carolina Department of Natural and Cultural Resources,,F7 11:C47 1995,pubs_37709536_charlotte1995_0001.tif-pubs_37709536_charlotte1995_0006.tif,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,application/pdf,eng,,pdf,/objects/small/015_chb_memorial_sm.jpg,/objects/thumbs/015_chb_memorial_th.jpg,Read the brochure for the Charlotte Hawkins Brown Memorial in our digital collections
https://digital.ncdcr.gov/Documents/Detail/whole-school-on-the-lawn-memorial-hall/758140,blackhistory016,"Whole School, on the lawn, Memorial Hall",1905-03-25,n,Charlotte Hawkins Brown Museum. North Carolina Historic Sites,,Group photograph of students and employees of Palmer Institute in front of Memorial Hall.,single-page; photograph,"African Americans; African Americans--Education--North Carolina; African Americans--North Carolina--History; Buildings; Palmer Memorial Institute (Sedalia, N.C.)--History; Portraits, Group; Schools","Sedalia, North Carolina",36.067222,-79.623611,,State Archives of North Carolina,Charlotte Hawkins Brown Museum. North Carolina Historic Sites,,,chb_photos_wholeschool,"This item is presented courtesy of the Charlotte Hawkins Brown Museum, a Historic Site within the North Carolina Department of Cultural Resources, for research and educational purposes. Prior permission from the Charlotte Hawkins Brown Museum is required for any commercial use.",https://historicsites.nc.gov/contact/contact-us,text; image,image/jpeg,eng,,image,/objects/small/016_palmerschool_sm.jpg,/objects/thumbs/016_palmerschool_th.jpg,A large group of African Americans of various ages on the porch of a school
https://digital.ncdcr.gov/Documents/Detail/palmer-institute-baseball-team/758042,blackhistory017,Palmer Institute Baseball Team,1905-03-04,n,Charlotte Hawkins Brown Museum. North Carolina Historic Sites,,The photograph shows twelve students from the Palmer Institute baseball team.,single-page; photograph,"African Americans; African Americans--Education--North Carolina; Baseball; Palmer Memorial Institute (Sedalia, N.C.)--History","Sedalia, North Carolina",36.067222,-79.623611,,State Archives of North Carolina,Charlotte Hawkins Brown Museum. North Carolina Historic Sites,,,chb_photos_baseballteam,"This item is presented courtesy of the Charlotte Hawkins Brown Museum, a Historic Site within the North Carolina Department of Cultural Resources, for research and educational purposes. Prior permission from the Charlotte Hawkins Brown Museum is required for any commercial use.",https://historicsites.nc.gov/contact/contact-us,text; image,image/jpeg,eng,,image,/objects/small/017_palmerbaseball_sm.jpg,/objects/thumbs/017_palmerbaseball_th.jpg,"The Palmer baseball team of twelve black men pose with a display of baseball bats, gloves, and balls"
https://digital.ncdcr.gov/Documents/Detail/football-team/758095,blackhistory018,Football Team,1905-06-05,n,Charlotte Hawkins Brown Museum. North Carolina Historic Sites,,Palmer Memorial Institute's football team.,single-page; photograph,"African Americans; African Americans--Education--North Carolina; African Americans--North Carolina--History; Palmer Memorial Institute (Sedalia, N.C.)--History; Portraits, Group","Sedalia, North Carolina",36.067222,-79.623611,,State Archives of North Carolina,Charlotte Hawkins Brown Museum. North Carolina Historic Sites,,,chb_photos_football,"This item is presented courtesy of the Charlotte Hawkins Brown Museum, a Historic Site within the North Carolina Department of Cultural Resources, for research and educational purposes. Prior permission from the Charlotte Hawkins Brown Museum is required for any commercial use.",https://historicsites.nc.gov/contact/contact-us,text; image,image/jpeg,eng,,image,/objects/small/018_palmerfootball_sm.jpg,/objects/thumbs/018_palmerfootball_th.jpg,The Palmer football team of fourteen Black men pose some kneel and other stand behind those kneeling
https://digital.ncdcr.gov/Documents/Detail/palmer-institute-girls-tennis-class/758130,blackhistory019,Palmer Institute Girls Tennis Class,1905-10-04,n,Charlotte Hawkins Brown Museum. North Carolina Historic Sites,,Palmer Institute girls tennis class on the tennis court.,multiple-page; photograph,"African Americans; African Americans--Education--North Carolina; Portraits, Group; Tennis; Tennis courts","Sedalia, North Carolina",36.067222,-79.623611,,State Archives of North Carolina,Charlotte Hawkins Brown Museum. North Carolina Historic Sites,,,chb_photos_tennis,"This item is presented courtesy of the Charlotte Hawkins Brown Museum, a Historic Site within the North Carolina Department of Cultural Resources, for research and educational purposes. Prior permission from the Charlotte Hawkins Brown Museum is required for any commercial use.",https://historicsites.nc.gov/contact/contact-us,text; image,image/jpeg,eng,,image,/objects/small/019_palmertennis_sm.jpg,/objects/thumbs/019_palmertennis_th.jpg,Seven women on the Palmer tennis team stand with rackets in front of a net
https://digital.ncdcr.gov/Documents/Detail/alice-freeman-palmer-building/758037,blackhistory020,Alice Palmer Freeman Building,,,Charlotte Hawkins Brown Museum. North Carolina Historic Sites,,Alice Freeman Palmer building at the Palmer Memorial Institute.,single-page; photograph,African Americans; African Americans--Education--North Carolina,"Sedalia, North Carolina",36.067222,-79.623611,,State Archives of North Carolina,Charlotte Hawkins Brown Museum. North Carolina Historic Sites,,,chb_photos_aspbuilding,"This item is presented courtesy of the Charlotte Hawkins Brown Museum, a Historic Site within the North Carolina Department of Cultural Resources, for research and educational purposes. Prior permission from the Charlotte Hawkins Brown Museum is required for any commercial use.",https://historicsites.nc.gov/contact/contact-us,text; image,image/jpeg,eng,,image,/objects/small/020_palmerbuilding_sm.jpg,/objects/thumbs/020_palmerbuilding_th.jpg,Palmer Memorial Institute building is a large two-story brick building with four large columns
https://digital.ncdcr.gov/Documents/Detail/dr.-brown-wedding-portrait/758070,blackhistory021,"Dr. Brown, Wedding Portrait",1905-03-26,n,Charlotte Hawkins Brown Museum. North Carolina Historic Sites,,Wedding portrait of Dr. Charlotte Hawkins Brown.,single-page; photograph,"African Americans; African Americans--Education--North Carolina; Brides; Brown, Charlotte Hawkins, 1883-1961; Dresses; Palmer Memorial Institute (Sedalia, N.C.)--History","Sedalia, North Carolina",36.067222,-79.623611,,State Archives of North Carolina,Charlotte Hawkins Brown Museum. North Carolina Historic Sites,,,chb_photos_drbrownwedding,"This item is presented courtesy of the Charlotte Hawkins Brown Museum, a Historic Site within the North Carolina Department of Cultural Resources, for research and educational purposes. Prior permission from the Charlotte Hawkins Brown Museum is required for any commercial use.",https://historicsites.nc.gov/contact/contact-us,text; image,image/jpeg,eng,,image,/objects/small/021_chb_wedding_sm.jpg,/objects/thumbs/021_chb_wedding_th.jpg,"Charlotte Hawkins Brown sits in a long lacy dress, she is wearing glvoes and glasses"
https://digital.ncdcr.gov/Documents/Detail/african-american-men-seated-at-a-lunch-counter/271317,blackhistory022,African American men seated at a lunch counter,1960,n,"News and observer (Raleigh, N.C.)",,Photo of African American sitting at a counter.,,Civil rights movements--North Carolina--History--20th century; African Americans--Civil rights; North Carolina--Social conditions--20th century; North Carolina--Race relations--History--20th century; Civil rights demonstrations--North Carolina,"North Carolina, United States",,,,State Archives of North Carolina,News and Observer Photograph Collection. Audio Visual Materials. State Archives of North Carolina,,,NO_2_10_1960_Fr6a,Image copyright is owned by the News & Observer newspaper. Please do not use or publish without permission from the N&O.,https://www.newsobserver.com/customer-service/copyright/,text; image,image/jpeg,eng,,image,/objects/small/022_lunch_counter_sm.jpg,/objects/thumbs/022_lunch_counter_th.jpg,"Three black men sit quietly at a lunch counter, one is reading, another has a camera"
https://digital.ncdcr.gov/Documents/Detail/african-american-men-seated-at-a-lunch-counter/271295,blackhistory023,African American men seated at a lunch counter,1960,n,"News and observer (Raleigh, N.C.)",,Photo of African American sitting at a counter.,,Civil rights movements--North Carolina--History--20th century; African Americans--Civil rights; North Carolina--Social conditions--20th century; North Carolina--Race relations--History--20th century; Civil rights demonstrations--North Carolina,"North Carolina, United States",,,,State Archives of North Carolina,News and Observer Photograph Collection. Audio Visual Materials. State Archives of North Carolina,,,NO_2_10_1960_Fr006,Image copyright is owned by the News & Observer newspaper. Please do not use or publish without permission from the N&O.,https://www.newsobserver.com/customer-service/copyright/,text; image,image/jpeg,eng,,image,/objects/small/023_lunch_counter_sm.jpg,/objects/thumbs/023_lunch_counter_th.jpg,Black men sit quietly at a lunch counter
https://digital.ncdcr.gov/Documents/Detail/tar-heel-junior-historian-1995-fall-v.35-no.1/3700413?item=5368682,blackhistory024,African American Life in North Carolina from the Tar Heel Junior Historian,1995,n,"Crow, Jeffrey J.; Gavins, Raymond",,An article about the history of African Americans in North Carolina.,multiple-page; article,"North Carolina--History--Periodicals; North Carolina--History--Societies, etc.--Periodicals","North Carolina, United States",,,,State Library of North Carolina,Tar Heel Junior Historian Association. North Carolina Museum of History.,,F1 16:35/1,pubs_serial_6740319_tar1995v35n1,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,application/pdf,eng,,pdf,/objects/small/024_aalifeinnc_sm.jpg,/objects/thumbs/024_aalifeinnc_th.jpg,Article from the Tar Heel Junior Historian about the African American life in NC
https://digital.ncdcr.gov/Documents/Detail/tar-heel-junior-historian-2004-fall-v.44-no.1/3700456?item=5369477,blackhistory025,African American Civil Rights in North Carolina from the Tar Heel Junior Historian,,,"Brown, Dr. Flora Bryant",,An article about the civil rights of African Americans in North Carolina.,multiple-page; article,"North Carolina--History--Periodicals; North Carolina--History--Societies, etc.--Periodicals","North Carolina, United States",,,,State Library of North Carolina,Tar Heel Junior Historian Association. North Carolina Museum of History.,,F1 16:44/1,pubs_serial_6740319_tar2004v44n1,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,application/pdf,eng,,pdf,/objects/small/025_aacivilrightsnc_sm.jpg,/objects/thumbs/025_aacivilrightsnc_th.jpg,Article from the Tar Heel Junior Historian about the African American civil rights in NC
https://digital.ncdcr.gov/Documents/Detail/tar-heel-junior-historian-2013-spring-v.52-no.2/5715024?item=5717184,blackhistory026,Student Non-Violent Coordinating Committee from Tar Heel Junior Historian,1960-1966,y,"Bell-Kite, Diana",,An article about the Student Non-Violent Coordinating Committee.,multiple-page; article,"North Carolina--History--Periodicals; North Carolina--History--Societies, etc.--Periodicals","North Carolina, United States",,,,State Library of North Carolina,State Library of NC. North Carolina Museum of History.,,F1 16:52/2,pubs_serial_6740319_tar2013springv52n2,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,text,application/pdf,eng,,pdf,/objects/small/026_sncc_sm.jpg,/objects/thumbs/026_sncc_th.jpg,Article from the Tar Heel Junior Historian about the Student non-violent Coordinating Committee
https://digital.ncdcr.gov/Documents/Detail/african-american-men-walking-down-a-street-carrying-a-banner-reading-freedom-for-all-people/271342,blackhistory027,"African American men walking down a street carrying a banner reading ""Freedom for all People!""",1963,n,"News and observer (Raleigh, N.C.)",,"African American men walking down a street carrying a banner reading ""Freedom for all People!""",single-page; photograph,African Americans--Civil rights; Civil rights demonstrations--North Carolina; Civil rights movements--North Carolina--History--20th century; North Carolina--Race relations--History--20th century; North Carolina--Social conditions--20th century,"Raleigh, North Carolina",,,,State Archives of North Carolina,News and Observer Photograph Collection. Audio Visual Materials. State Archives of North Carolina,,,NO_4_15_1963_NegroesPicket_Fr42,Image copyright is owned by the News & Observer newspaper. Please do not use or publish without permission from the N&O.,https://www.newsobserver.com/customer-service/copyright/,text; image,image/jpeg,eng,,image,/objects/small/027_1963freedomforall_sm.jpg,/objects/thumbs/027_1963freedomforall_th.jpg,Several black men walk down a street with a sign reading Freedom for all People
https://digital.ncdcr.gov/Documents/Detail/african-american-women-picketers-holding-signs-calling-for-justice./271323,blackhistory028,African American women picketers holding signs calling for justice.,1960,n,"News and observer (Raleigh, N.C.)",,African American women picketers holding signs calling for justice.,single-page; photograph,African Americans--Civil rights; Civil rights demonstrations--North Carolina; Civil rights movements--North Carolina--History--20th century; North Carolina--Race relations--History--20th century; North Carolina--Social conditions--20th century,"North Carolina, United States",,,,State Archives of North Carolina,News and Observer Photograph Collection. Audio Visual Materials. State Archives of North Carolina,,,NO_2_10_1960_Sit_DownStrikeWoolworths_Fr21,Image copyright is owned by the News & Observer newspaper. Please do not use or publish without permission from the N&O.,https://www.newsobserver.com/customer-service/copyright/,text; image,image/jpeg,eng,,image,/objects/small/028_1960womenpicketers_sm.jpg,/objects/thumbs/028_1960womenpicketers_th.jpg,Black women walk down a sidewalk with protest signs in front of store
https://digital.ncdcr.gov/Documents/Detail/african-americans-picketing-sir-walter-hotel/271284,blackhistory029,African Americans picketing Sir Walter Hotel,1963,n,"News and observer (Raleigh, N.C.)",,African Americans picketing Sir Walter Hotel.,single-page; photograph,African Americans--Civil rights; Civil rights demonstrations--North Carolina; Civil rights movements--North Carolina--History--20th century; North Carolina--Race relations--History--20th century; North Carolina--Social conditions--20th century,"Raleigh, North Carolina",35.775389,-78.639583,,State Archives of North Carolina,News and Observer Photograph Collection. Audio Visual Materials. State Archives of North Carolina,,,NO_05_15_1963_Fr_39_Negroes_Picket_Church,Image copyright is owned by the News & Observer newspaper. Please do not use or publish without permission from the N&O.,https://www.newsobserver.com/customer-service/copyright/,text; image,image/jpeg,eng,,image,/objects/small/029_1963sirwalterhotelpicketers_sm.jpg,/objects/thumbs/029_1963sirwalterhotelpicketers_th.jpg,Several black men and women stand outside a business with protest signs
